Reflex daemon running. Watching hunger/health...
[reflex] 💀 WILSON DIED (darkness) - revive sent
[reflex] 💀 DEAD (darkness) - revive sent
[reflex] DUSK-WARNING: no torch, materials needed (twigs+cutgrass)
[reflex] FLEEING tentacle at 8m -> (366,27)
[reflex] FLEEING tentacle at 8m -> (370,42)
[reflex] FLEEING tentacle at 7m -> (347,30)
[reflex] FLEEING tentacle at 8m -> (347,28)
[reflex] FLEEING tentacle at 8m -> (369,35)
[reflex] FLEEING tentacle at 9m -> (370,32)
[reflex] FLEEING tentacle at 9m -> (348,41)
[reflex] FLEEING tentacle at 9m -> (349,42)
[reflex] FLEEING tentacle at 9m -> (348,25)
[reflex] FLEEING tentacle at 9m -> (370,33)
[reflex] FLEEING tentacle at 8m -> (349,40)
[reflex] FLEEING tentacle at 8m -> (349,41)
[reflex] FLEEING tentacle at 9m -> (350,24)
[reflex] FLEEING tentacle at 8m -> (370,36)
[reflex] FLEEING tentacle at 8m -> (370,38)
[reflex] FLEEING tentacle at 9m -> (350,25)
[reflex] FLEEING tentacle at 8m -> (358,23)
[reflex] FLEEING tentacle at 8m -> (345,36)
[reflex] FLEEING tentacle at 7m -> (361,22)
[reflex] FLEEING tentacle at 8m -> (361,20)
[reflex] FLEEING tentacle at 9m -> (342,25)
[reflex] FLEEING tentacle at 9m -> (360,37)
[reflex] FLEEING tentacle at 9m -> (356,39)
[reflex] FLEEING tentacle at 9m -> (367,26)
[reflex] FLEEING tentacle at 8m -> (350,42)
[reflex] FLEEING tentacle at 7m -> (352,42)
[reflex] FLEEING tentacle at 9m -> (349,25)
[reflex] FLEEING tentacle at 9m -> (371,37)
[reflex] FLEEING tentacle at 9m -> (356,22)
[reflex] FLEEING tentacle at 9m -> (351,45)
[reflex] FLEEING tentacle at 9m -> (348,41)
[reflex] FLEEING tentacle at 9m -> (369,31)
[reflex] FLEEING tentacle at 9m -> (370,32)
[reflex] FLEEING tentacle at 9m -> (348,41)
[reflex] FLEEING tentacle at 9m -> (349,42)
[reflex] FLEEING tentacle at 9m -> (349,25)
[reflex] FLEEING tentacle at 9m -> (369,32)
[reflex] FLEEING tentacle at 8m -> (348,39)
[reflex] FLEEING tentacle at 8m -> (349,40)
[reflex] FLEEING tentacle at 8m -> (369,36)
[reflex] FLEEING tentacle at 9m -> (371,36)
[reflex] FLEEING tentacle at 9m -> (353,23)
[reflex] FLEEING tentacle at 9m -> (365,33)
[reflex] FLEEING tentacle at 9m -> (365,33)
[reflex] FLEEING tentacle at 8m -> (344,32)
[reflex] FLEEING tentacle at 9m -> (344,35)
[reflex] FLEEING tentacle at 9m -> (363,20)
[reflex] FLEEING tentacle at 9m -> (361,20)
[reflex] FLEEING tentacle at 8m -> (365,25)
[reflex] FLEEING tentacle at 8m -> (366,26)
[reflex] FLEEING tentacle at 9m -> (346,39)
[reflex] FLEEING tentacle at 8m -> (347,39)
[reflex] FLEEING tentacle at 9m -> (367,26)
[reflex] FLEEING tentacle at 7m -> (350,40)
[reflex] FLEEING tentacle at 7m -> (350,41)
[reflex] FLEEING tentacle at 8m -> (369,34)
[reflex] FLEEING tentacle at 9m -> (354,22)
[reflex] FLEEING tentacle at 9m -> (368,27)
[reflex] FLEEING tentacle at 7m -> (352,42)
[reflex] FLEEING tentacle at 8m -> (352,44)
[reflex] FLEEING tentacle at 9m -> (346,28)
[reflex] FLEEING tentacle at 7m -> (369,35)
[reflex] FLEEING tentacle at 9m -> (371,34)
[reflex] FLEEING tentacle at 9m -> (349,44)
[reflex] FLEEING tentacle at 9m -> (361,21)
[reflex] FLEEING tentacle at 9m -> (351,44)
[reflex] FLEEING tentacle at 9m -> (350,43)
[reflex] FLEEING tentacle at 9m -> (370,33)
[reflex] FLEEING tentacle at 8m -> (370,37)
[reflex] FLEEING tentacle at 9m -> (350,24)
[reflex] FLEEING tentacle at 8m -> (368,32)
[reflex] FLEEING tentacle at 9m -> (349,41)
[reflex] FLEEING tentacle at 9m -> (371,36)
[reflex] FLEEING tentacle at 9m -> (371,38)
[reflex] FLEEING tentacle at 8m -> (353,24)
[reflex] FLEEING tentacle at 8m -> (357,22)
[reflex] FLEEING tentacle at 9m -> (348,41)
[reflex] FLEEING tentacle at 9m -> (345,35)
[reflex] FLEEING tentacle at 9m -> (364,22)
[reflex] FLEEING tentacle at 9m -> (364,21)
[reflex] FLEEING tentacle at 9m -> (343,32)
[reflex] FLEEING tentacle at 8m -> (343,29)
[reflex] FLEEING tentacle at 8m -> (365,26)
[reflex] FLEEING tentacle at 8m -> (365,26)
[reflex] FLEEING tentacle at 7m -> (345,30)
[reflex] FLEEING tentacle at 9m -> (343,31)
[reflex] FLEEING tentacle at 7m -> (364,28)
[reflex] FLEEING tentacle at 7m -> (364,29)
[reflex] FLEEING tentacle at 9m -> (344,35)
[reflex] FLEEING tentacle at 8m -> (361,20)
[reflex] FLEEING tentacle at 8m -> (360,19)
[reflex] FLEEING tentacle at 9m -> (344,16)
[reflex] FLEEING tentacle at 7m -> (368,24)
[reflex] FLEEING tentacle at 8m -> (368,24)
[reflex] FLEEING tentacle at 8m -> (347,13)
[reflex] FLEEING tentacle at 7m -> (348,13)
[reflex] FLEEING tentacle at 9m -> (370,19)
[reflex] FLEEING tentacle at 7m -> (357,5)
[reflex] FLEEING tentacle at 8m -> (359,3)
[reflex] FLEEING tentacle at 8m -> (370,27)
[reflex] FLEEING tentacle at 8m -> (371,26)
[reflex] FLEEING tentacle at 9m -> (361,1)
[reflex] FLEEING tentacle at 8m -> (364,2)
[reflex] FLEEING tentacle at 8m -> (376,20)
[reflex] FLEEING tentacle at 7m -> (357,23)
[reflex] FLEEING tentacle at 9m -> (358,26)
[reflex] FLEEING tentacle at 8m -> (356,5)
[reflex] FLEEING tentacle at 8m -> (352,7)
[reflex] FLEEING tentacle at 7m -> (359,29)
[reflex] FLEEING tentacle at 8m -> (358,30)
[reflex] FLEEING tentacle at 9m -> (344,15)
[reflex] FLEEING tentacle at 8m -> (368,27)
[reflex] FLEEING tentacle at 7m -> (367,27)
[reflex] FLEEING tentacle at 8m -> (365,25)
[reflex] FLEEING tentacle at 7m -> (366,27)
[reflex] FLEEING tentacle at 7m -> (349,40)
[reflex] FLEEING tentacle at 5m -> (353,41)
[reflex] FLEEING tentacle at 8m -> (351,43)
[reflex] FLEEING tentacle at 8m -> (370,38)
[reflex] FLEEING tentacle at 8m -> (369,42)
[reflex] FLEEING tentacle at 7m -> (347,28)
[reflex] FLEEING tentacle at 6m -> (352,27)
[reflex] FLEEING tentacle at 9m -> (349,25)
[reflex] FLEEING tentacle at 9m -> (365,23)
[reflex] FLEEING tentacle at 7m -> (345,32)
[reflex] FLEEING tentacle at 8m -> (344,31)
[reflex] FLEEING tentacle at 7m -> (364,29)
[reflex] FLEEING tentacle at 7m -> (364,30)
[reflex] FLEEING tentacle at 9m -> (346,39)
[reflex] FLEEING tentacle at 7m -> (366,28)
[reflex] FLEEING tentacle at 7m -> (366,28)
[reflex] FLEEING tentacle at 8m -> (350,41)
[reflex] FLEEING tentacle at 9m -> (349,43)
[reflex] FLEEING tentacle at 9m -> (370,34)
[reflex] FLEEING tentacle at 9m -> (371,35)
[reflex] FLEEING tentacle at 9m -> (354,22)
[reflex] FLEEING tentacle at 9m -> (345,37)
[reflex] FLEEING tentacle at 9m -> (363,21)
[reflex] FLEEING tentacle at 9m -> (363,20)
[reflex] FLEEING tentacle at 8m -> (343,26)
[reflex] FLEEING tentacle at 9m -> (342,24)
[reflex] FLEEING tentacle at 8m -> (359,37)
[reflex] FLEEING tentacle at 9m -> (357,39)
[reflex] FLEEING tentacle at 9m -> (368,27)
[reflex] FLEEING tentacle at 9m -> (350,43)
[reflex] FLEEING tentacle at 7m -> (353,43)
[reflex] FLEEING tentacle at 9m -> (348,26)
[reflex] FLEEING tentacle at 9m -> (345,29)
[reflex] FLEEING tentacle at 7m -> (369,34)
[reflex] FLEEING tentacle at 7m -> (367,29)
[reflex] FLEEING tentacle at 8m -> (353,44)
[reflex] FLEEING tentacle at 8m -> (354,45)
[reflex] FLEEING tentacle at 8m -> (352,24)
[reflex] FLEEING tentacle at 8m -> (348,26)
[reflex] FLEEING tentacle at 9m -> (370,33)
[reflex] FLEEING tentacle at 8m -> (350,42)
[reflex] FLEEING merm at 6m -> (350,28)
[reflex] FLEEING merm at 4m -> (348,26)
[reflex] FLEEING merm at 3m -> (346,24)
[reflex] FLEEING merm at 4m -> (342,24)
[reflex] FLEEING merm at 6m -> (341,20)
[reflex] FLEEING merm at 4m -> (337,23)
[reflex] FLEEING merm at 3m -> (335,24)
[reflex] FLEEING merm at 4m -> (331,27)
[reflex] FLEEING tentacle at 3m -> (352,16)
[reflex] FLEEING merm at 3m -> (332,16)
[reflex] FLEEING merm at 4m -> (338,10)
[reflex] FLEEING merm at 7m -> (334,9)
[reflex] FLEEING tentacle at 6m -> (326,25)
[reflex] FLEEING tentacle at 8m -> (323,24)
[reflex] FLEEING tentacle at 9m -> (332,19)
[reflex] FLEEING tentacle at 8m -> (315,28)
[reflex] FLEEING tentacle at 9m -> (313,32)
[reflex] FLEEING tentacle at 9m -> (336,22)
[reflex] FLEEING tentacle at 8m -> (333,20)
[reflex] FLEEING tentacle at 7m -> (326,28)
[reflex] FLEEING tentacle at 8m -> (327,30)
[reflex] FLEEING tentacle at 8m -> (327,31)
[reflex] FLEEING tentacle at 8m -> (328,12)
[reflex] FLEEING tentacle at 9m -> (330,10)
[reflex] FLEEING tentacle at 6m -> (325,14)
[reflex] FLEEING tentacle at 6m -> (325,15)
[reflex] FLEEING tentacle at 9m -> (322,15)
[reflex] FLEEING tentacle at 9m -> (332,18)
[reflex] FLEEING tentacle at 7m -> (333,22)
[reflex] FLEEING tentacle at 7m -> (321,18)
[reflex] FLEEING tentacle at 7m -> (318,22)
[reflex] FLEEING tentacle at 9m -> (324,15)
[reflex] FLEEING tentacle at 7m -> (326,18)
[reflex] FLEEING tentacle at 4m -> (336,30)
[reflex] FLEEING tentacle at 3m -> (337,40)
[reflex] FLEEING tentacle at 6m -> (339,34)
[reflex] FLEEING tentacle at 5m -> (323,23)
[reflex] FLEEING tentacle at 7m -> (328,20)
[reflex] FLEEING tentacle at 9m -> (313,32)
[reflex] FLEEING tentacle at 8m -> (327,17)
[reflex] FLEEING tentacle at 7m -> (320,16)
[reflex] FLEEING tentacle at 4m -> (316,19)
[reflex] FLEEING tentacle at 2m -> (310,23)
[reflex] FLEEING tentacle at 4m -> (328,23)
[reflex] FLEEING tentacle at 6m -> (320,17)
[reflex] FLEEING tentacle at 9m -> (323,15)
[reflex] FLEEING tentacle at 4m -> (326,21)
[reflex] FLEEING tentacle at 3m -> (329,24)
[reflex] FLEEING tentacle at 6m -> (329,21)
[reflex] FLEEING tentacle at 9m -> (331,19)
[reflex] FLEEING tentacle at 9m -> (317,19)
[reflex] FLEEING tentacle at 9m -> (315,23)
[reflex] FLEEING tentacle at 9m -> (329,25)
[reflex] FLEEING tentacle at 9m -> (314,26)
[reflex] FLEEING tentacle at 9m -> (312,32)
[reflex] FLEEING tentacle at 9m -> (335,21)
[reflex] FLEEING tentacle at 7m -> (329,19)
[reflex] FLEEING tentacle at 7m -> (319,23)
[reflex] FLEEING tentacle at 6m -> (340,34)
[reflex] FLEEING tentacle at 7m -> (338,28)
[reflex] FLEEING tentacle at 8m -> (326,19)
[reflex] FLEEING tentacle at 7m -> (315,31)
[reflex] FLEEING tentacle at 9m -> (315,25)
[reflex] FLEEING tentacle at 9m -> (329,31)
[reflex] FLEEING tentacle at 8m -> (332,20)
[reflex] FLEEING tentacle at 5m -> (334,25)
[reflex] FLEEING tentacle at 8m -> (336,23)
[reflex] FLEEING tentacle at 8m -> (321,16)
[reflex] FLEEING tentacle at 9m -> (326,12)
[reflex] FLEEING tentacle at 6m -> (334,25)
[reflex] FLEEING tentacle at 5m -> (336,30)
[reflex] FLEEING tentacle at 7m -> (338,27)
[reflex] FLEEING tentacle at 9m -> (313,33)
[reflex] FLEEING tentacle at 7m -> (315,29)
[reflex] FLEEING tentacle at 8m -> (327,17)
[reflex] FLEEING tentacle at 9m -> (323,14)
[reflex] FLEEING tentacle at 9m -> (324,15)
[reflex] FLEEING tentacle at 7m -> (325,17)
[reflex] FLEEING crawlinghorror at 7m -> (323,-1)
[reflex] FLEEING crawlinghorror at 8m -> (323,-2)
[reflex] FLEEING tentacle at 8m -> (314,8)
[reflex] FLEEING tentacle at 8m -> (309,5)
[reflex] FLEEING crawlinghorror at 7m -> (303,-23)
[reflex] FLEEING crawlinghorror at 7m -> (301,-23)
[reflex] FLEEING crawlinghorror at 8m -> (301,-26)
[reflex] FLEEING terrorbeak at 2m -> (319,-21)
[reflex] FLEEING crawlinghorror at 3m -> (308,-34)
[reflex] FLEEING crawlinghorror at 1m -> (322,-22)
[reflex] FLEEING crawlinghorror at 1m -> (322,-22)
[reflex] FLEEING crawlinghorror at 3m -> (325,-13)
[reflex] FLEEING crawlinghorror at 6m -> (328,-12)
[reflex] FLEEING tentacle at 4m -> (309,-1)
[reflex] FLEEING tentacle at 4m -> (316,2)
[reflex] FLEEING crawlinghorror at 7m -> (330,-4)
[reflex] FLEEING crawlinghorror at 6m -> (327,2)
[reflex] FLEEING crawlinghorror at 7m -> (332,0)
[reflex] FLEEING crawlinghorror at 8m -> (334,3)
[reflex] FLEEING terrorbeak at 8m -> (335,7)
[reflex] FLEEING terrorbeak at 8m -> (337,9)
[reflex] FLEEING terrorbeak at 7m -> (340,11)
[reflex] FLEEING terrorbeak at 7m -> (342,12)
[reflex] FLEEING terrorbeak at 6m -> (344,14)
[reflex] FLEEING terrorbeak at 6m -> (347,16)
[reflex] FLEEING terrorbeak at 5m -> (348,19)
[reflex] FLEEING terrorbeak at 5m -> (351,20)
[reflex] FLEEING terrorbeak at 4m -> (353,23)
[reflex] FLEEING tentacle at 3m -> (335,2)
[reflex] FLEEING tentacle at 0m -> (354,4)
[reflex] FLEEING terrorbeak at 0m -> (357,24)
[reflex] FLEEING tentacle at 3m -> (341,-0)
[reflex] FLEEING tentacle at 3m -> (341,-0)
[reflex] FLEEING tentacle at 3m -> (341,-0)
[reflex] FLEEING tentacle at 3m -> (341,-0)
[reflex] 💀 WILSON DIED (mob:tentacle) - revive sent
[reflex] 💀 DEAD (mob:tentacle) - revive sent
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 6m -> (340,-4)
[reflex] FLEEING tentacle at 7m -> (340,-5)
[reflex] FLEEING tentacle at 9m -> (332,15)
[reflex] FLEEING tentacle at 9m -> (329,10)
[reflex] FLEEING tentacle at 9m -> (337,22)
[reflex] FLEEING tentacle at 9m -> (315,24)
[reflex] FLEEING tentacle at 9m -> (329,28)
[reflex] FLEEING tentacle at 8m -> (328,19)
[reflex] FLEEING tentacle at 9m -> (323,15)
[reflex] FLEEING tentacle at 7m -> (325,17)
[reflex] FLEEING tentacle at 8m -> (326,16)
[reflex] FLEEING tentacle at 9m -> (332,18)
[reflex] FLEEING tentacle at 9m -> (333,19)
[reflex] FLEEING tentacle at 8m -> (320,17)
[reflex] FLEEING tentacle at 8m -> (328,19)
[reflex] FLEEING tentacle at 6m -> (320,17)
[reflex] FLEEING tentacle at 9m -> (324,15)
[reflex] FLEEING tentacle at 7m -> (325,17)
[reflex] FLEEING tentacle at 6m -> (326,19)
[reflex] FLEEING tentacle at 9m -> (326,16)
[reflex] FLEEING tentacle at 7m -> (334,22)
[reflex] FLEEING tentacle at 6m -> (336,27)
[reflex] FLEEING tentacle at 9m -> (338,25)
[reflex] FLEEING tentacle at 9m -> (313,28)
[reflex] FLEEING tentacle at 9m -> (313,26)
[reflex] FLEEING tentacle at 9m -> (326,34)
[reflex] FLEEING tentacle at 9m -> (325,16)
[reflex] FLEEING tentacle at 8m -> (332,20)
[reflex] FLEEING tentacle at 9m -> (334,19)
[reflex] FLEEING tentacle at 8m -> (324,14)
[reflex] FLEEING tentacle at 9m -> (322,14)
[reflex] FLEEING tentacle at 8m -> (321,15)
[reflex] FLEEING tentacle at 6m -> (321,17)
[reflex] FLEEING tentacle at 9m -> (322,14)
[reflex] FLEEING tentacle at 8m -> (322,15)
[reflex] FLEEING tentacle at 8m -> (322,16)
[reflex] FLEEING tentacle at 7m -> (323,17)
[reflex] FLEEING tentacle at 7m -> (323,17)
[reflex] FLEEING tentacle at 9m -> (325,15)
[reflex] FLEEING tentacle at 7m -> (325,17)
[reflex] FLEEING tentacle at 7m -> (333,21)
[reflex] FLEEING tentacle at 7m -> (334,23)
[reflex] FLEEING tentacle at 9m -> (319,17)
[reflex] FLEEING tentacle at 9m -> (325,16)
[reflex] FLEEING tentacle at 8m -> (332,19)
[reflex] FLEEING tentacle at 6m -> (334,23)
[reflex] FLEEING tentacle at 9m -> (336,21)
[reflex] FLEEING tentacle at 9m -> (317,18)
[reflex] FLEEING tentacle at 9m -> (321,14)
[reflex] FLEEING tentacle at 9m -> (321,14)
[reflex] FLEEING tentacle at 7m -> (321,17)
[reflex] FLEEING tentacle at 8m -> (321,16)
[reflex] FLEEING tentacle at 8m -> (320,15)
[reflex] FLEEING tentacle at 8m -> (320,15)
[reflex] FLEEING tentacle at 8m -> (327,17)
[reflex] FLEEING tentacle at 8m -> (320,15)
[reflex] FLEEING tentacle at 8m -> (327,18)
[reflex] FLEEING tentacle at 9m -> (321,15)
[reflex] FLEEING merm at 3m -> (306,36)
[reflex] FLEEING merm at 3m -> (305,40)
[reflex] FLEEING tentacle at 4m -> (320,19)
[reflex] FLEEING tentacle at 4m -> (316,18)
[reflex] FLEEING tentacle at 7m -> (316,15)
[reflex] FLEEING merm at 8m -> (300,26)
[reflex] FLEEING tentacle at 8m -> (325,34)
[reflex] FLEEING tentacle at 9m -> (325,36)
[reflex] FLEEING merm at 7m -> (301,30)
[reflex] FLEEING merm at 8m -> (301,33)
[reflex] FLEEING tentacle at 7m -> (312,15)
[reflex] FLEEING tentacle at 8m -> (306,15)
[reflex] FLEEING tentacle at 6m -> (320,38)
[reflex] FLEEING merm at 2m -> (296,29)
[reflex] FLEEING merm at 3m -> (297,35)
[reflex] FLEEING merm at 4m -> (295,36)
[reflex] FLEEING tentacle at 7m -> (312,17)
[reflex] FLEEING tentacle at 8m -> (309,16)
[reflex] FLEEING tentacle at 6m -> (312,42)
[reflex] FLEEING tentacle at 5m -> (314,40)
[reflex] FLEEING merm at 7m -> (295,36)
[reflex] FLEEING merm at 7m -> (295,39)
[reflex] FLEEING tentacle at 6m -> (303,17)
[reflex] FLEEING merm at 3m -> (289,34)
[reflex] FLEEING merm at 4m -> (287,28)
[reflex] FLEEING merm at 7m -> (284,29)
[reflex] FLEEING tentacle at 6m -> (280,30)
[reflex] FLEEING tentacle at 6m -> (279,30)
[reflex] FLEEING tentacle at 9m -> (282,28)
[reflex] FLEEING tentacle at 8m -> (284,29)
[reflex] FLEEING tentacle at 6m -> (286,29)
[reflex] FLEEING tentacle at 9m -> (283,27)
[reflex] FLEEING tentacle at 7m -> (288,20)
[reflex] FLEEING tentacle at 7m -> (288,17)
[reflex] FLEEING mosquito at 9m -> (278,12)
[reflex] FLEEING mosquito at 9m -> (270,5)
[reflex] FLEEING mosquito at 6m -> (266,8)
[reflex] FLEEING mosquito at 5m -> (270,9)
[reflex] FLEEING mosquito at 4m -> (272,11)
[reflex] FLEEING mosquito at 3m -> (274,13)
[reflex] FLEEING mosquito at 9m -> (270,6)
[reflex] FLEEING tentacle at 8m -> (282,14)
[reflex] FLEEING tentacle at 7m -> (284,12)
[reflex] FLEEING crawlinghorror at 5m -> (295,12)
[reflex] FLEEING crawlinghorror at 5m -> (296,12)
[reflex] FLEEING crawlinghorror at 8m -> (299,13)
[reflex] FLEEING tentacle at 9m -> (287,3)
[reflex] FLEEING crawlinghorror at 7m -> (308,4)
[reflex] FLEEING crawlinghorror at 6m -> (307,3)
[reflex] FLEEING crawlinghorror at 4m -> (308,4)
[reflex] FLEEING crawlinghorror at 6m -> (311,5)
[reflex] FLEEING crawlinghorror at 7m -> (313,3)
[reflex] FLEEING crawlinghorror at 9m -> (316,3)
[reflex] FLEEING merm at 8m -> (318,6)
[reflex] FLEEING crawlinghorror at 5m -> (335,14)
[reflex] FLEEING crawlinghorror at 4m -> (335,8)
[reflex] FLEEING crawlinghorror at 5m -> (338,10)
[reflex] FLEEING crawlinghorror at 7m -> (341,8)
[reflex] FLEEING crawlinghorror at 8m -> (344,9)
[reflex] FLEEING crawlinghorror at 6m -> (342,24)
[reflex] FLEEING crawlinghorror at 6m -> (340,29)
[reflex] FLEEING crawlinghorror at 7m -> (344,29)
[reflex] FLEEING crawlinghorror at 9m -> (344,33)
[reflex] FLEEING merm at 8m -> (342,9)
[reflex] FLEEING tentacle at 5m -> (331,13)
[reflex] FLEEING tentacle at 8m -> (335,8)
[reflex] FLEEING crawlinghorror at 6m -> (352,30)
[reflex] FLEEING crawlinghorror at 5m -> (352,29)
[reflex] FLEEING crawlinghorror at 4m -> (353,29)
[reflex] FLEEING crawlinghorror at 6m -> (355,32)
[reflex] FLEEING tentacle at 6m -> (354,13)
[reflex] FLEEING tentacle at 6m -> (360,19)
[reflex] FLEEING tentacle at 6m -> (353,38)
[reflex] FLEEING crawlinghorror at 8m -> (365,29)
[reflex] FLEEING crawlinghorror at 8m -> (364,35)
[reflex] FLEEING crawlinghorror at 9m -> (367,35)
[reflex] FLEEING crawlinghorror at 7m -> (376,41)
[reflex] FLEEING crawlinghorror at 7m -> (378,42)
[reflex] FLEEING crawlinghorror at 9m -> (381,43)
[reflex] FLEEING spider_warrior at 6m -> (361,36)
[reflex] FLEEING crawlinghorror at 8m -> (386,48)
[reflex] FLEEING crawlinghorror at 5m -> (382,50)
[reflex] FLEEING crawlinghorror at 7m -> (385,52)
[reflex] FLEEING crawlinghorror at 8m -> (388,53)
[reflex] FLEEING spider_warrior at 7m -> (366,38)
[reflex] FLEEING spider_warrior at 7m -> (364,43)
[reflex] FLEEING crawlinghorror at 4m -> (385,56)
[reflex] FLEEING crawlinghorror at 3m -> (384,57)
[reflex] FLEEING crawlinghorror at 6m -> (390,54)
[reflex] FLEEING spider_warrior at 5m -> (367,51)
[reflex] FLEEING spider_warrior at 6m -> (367,55)
[reflex] FLEEING crawlinghorror at 5m -> (377,62)
[reflex] FLEEING crawlinghorror at 4m -> (366,59)
[reflex] FLEEING crawlinghorror at 3m -> (365,60)
[reflex] FLEEING crawlinghorror at 5m -> (363,62)
[reflex] FLEEING crawlinghorror at 4m -> (360,61)
[reflex] FLEEING crawlinghorror at 3m -> (357,59)
[reflex] FLEEING crawlinghorror at 4m -> (354,58)
[reflex] FLEEING crawlinghorror at 5m -> (351,56)
[reflex] FLEEING crawlinghorror at 6m -> (347,53)
[reflex] FLEEING crawlinghorror at 7m -> (345,56)
[reflex] FLEEING crawlinghorror at 9m -> (342,55)
[reflex] FLEEING tentacle at 6m -> (368,50)
[reflex] FLEEING tentacle at 5m -> (367,49)
[reflex] FLEEING crawlinghorror at 5m -> (340,50)
[reflex] FLEEING crawlinghorror at 3m -> (341,48)
[reflex] FLEEING crawlinghorror at 5m -> (338,49)
[reflex] FLEEING tentacle at 4m -> (364,44)
[reflex] FLEEING tentacle at 5m -> (364,42)
[reflex] FLEEING crawlinghorror at 4m -> (340,39)
[reflex] FLEEING crawlinghorror at 4m -> (339,44)
[reflex] FLEEING crawlinghorror at 6m -> (338,37)
[reflex] FLEEING tentacle at 5m -> (363,42)
[reflex] FLEEING tentacle at 3m -> (350,58)
[reflex] FLEEING crawlinghorror at 4m -> (339,32)
[reflex] FLEEING tentacle at 4m -> (354,57)
[reflex] FLEEING crawlinghorror at 4m -> (334,37)
[reflex] FLEEING crawlinghorror at 3m -> (333,39)
[reflex] FLEEING tentacle at 2m -> (355,33)
[reflex] FLEEING tentacle at 3m -> (335,54)
[reflex] FLEEING tentacle at 2m -> (338,55)
[reflex] FLEEING tentacle at 1m -> (350,30)
[reflex] FLEEING tentacle at 1m -> (328,39)
[reflex] FLEEING tentacle at 1m -> (339,30)
[reflex] FLEEING tentacle at 1m -> (339,30)
[reflex] FLEEING tentacle at 1m -> (339,30)
[reflex] FLEEING tentacle at 1m -> (339,30)
[reflex] 💀 WILSON DIED (mob:tentacle) - revive sent
[reflex] 💀 DEAD (mob:tentacle) - revive sent
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 4m -> (338,26)
[reflex] FLEEING tentacle at 5m -> (338,25)
[reflex] FLEEING tentacle at 5m -> (350,49)
[reflex] FLEEING tentacle at 3m -> (353,43)
[reflex] FLEEING tentacle at 4m -> (328,33)
[reflex] FLEEING tentacle at 4m -> (327,34)
[reflex] FLEEING tentacle at 3m -> (347,49)
[reflex] FLEEING tentacle at 3m -> (342,51)
[reflex] FLEEING tentacle at 6m -> (334,26)
[reflex] FLEEING tentacle at 5m -> (333,28)
[reflex] FLEEING tentacle at 5m -> (343,53)
[reflex] FLEEING tentacle at 3m -> (339,51)
[reflex] FLEEING tentacle at 6m -> (341,54)
[reflex] FLEEING tentacle at 5m -> (328,32)
[reflex] FLEEING tentacle at 5m -> (326,34)
[reflex] FLEEING tentacle at 7m -> (351,38)
[reflex] FLEEING tentacle at 6m -> (333,54)
[reflex] FLEEING tentacle at 6m -> (339,55)
[reflex] FLEEING tentacle at 6m -> (323,36)
[reflex] FLEEING tentacle at 4m -> (333,31)
[reflex] FLEEING tentacle at 5m -> (349,47)
[reflex] FLEEING tentacle at 6m -> (351,43)
[reflex] FLEEING tentacle at 4m -> (326,35)
[reflex] FLEEING tentacle at 4m -> (330,31)
[reflex] FLEEING tentacle at 7m -> (326,31)
[reflex] FLEEING tentacle at 5m -> (331,53)
[reflex] FLEEING tentacle at 5m -> (324,49)
[reflex] FLEEING tentacle at 3m -> (346,34)
[reflex] FLEEING tentacle at 1m -> (346,44)
[reflex] FLEEING tentacle at 4m -> (349,41)
[reflex] FLEEING tentacle at 7m -> (323,35)
[reflex] FLEEING tentacle at 6m -> (326,32)
[reflex] FLEEING tentacle at 6m -> (349,34)
[reflex] FLEEING tentacle at 6m -> (326,51)
[reflex] FLEEING tentacle at 5m -> (332,53)
[reflex] FLEEING tentacle at 5m -> (348,36)
[reflex] FLEEING tentacle at 4m -> (348,47)
[reflex] FLEEING tentacle at 7m -> (352,41)
[reflex] FLEEING tentacle at 4m -> (329,31)
[reflex] FLEEING tentacle at 4m -> (334,28)
[reflex] FLEEING tentacle at 6m -> (342,54)
[reflex] FLEEING tentacle at 4m -> (341,53)
[reflex] FLEEING tentacle at 6m -> (330,29)
[reflex] FLEEING tentacle at 4m -> (328,33)
[reflex] FLEEING tentacle at 7m -> (328,29)
[reflex] FLEEING tentacle at 5m -> (331,53)
[reflex] FLEEING tentacle at 6m -> (347,31)
[reflex] FLEEING tentacle at 5m -> (350,40)
[reflex] FLEEING tentacle at 5m -> (331,30)
[reflex] FLEEING tentacle at 5m -> (332,30)
[reflex] FLEEING tentacle at 6m -> (350,39)
[reflex] FLEEING tentacle at 6m -> (330,53)
[reflex] FLEEING tentacle at 5m -> (339,54)
